净值日期,日增长率,预测值
2021/9/17,2,0.1252982
2021/9/16,0.05,0.079893066
2021/9/15,-2.12,0.5
2021/9/14,-0.55,0.579913046
2021/9/13,-1.29,0.349714398
2021/9/12,0,0.144122365
2021/9/11,0,0.68267479
2021/9/10,1.08,0.000240767
2021/9/9,-0.48,0.355943671
2021/9/8,-1.28,0.088726538
2021/9/7,0.16,0.000633485
2021/9/6,2.09,0.461655075
2021/9/5,0,0.045416379
2021/9/4,0,0.274576271
2021/9/3,1.16,0.25
2021/9/2,-1.67,0.437230757
2021/9/1,2.46,0.087847076
2021/8/31,-0.61,0.000312662
2021/8/30,0.56,1.28E-05
2021/8/29,0,0.079149854
2021/8/28,0,0.048242737
2021/8/27,-0.42,0.010125842
2021/8/26,-2.53,0.298071234
2021/8/25,1.01,0.951802278
2021/8/24,1.59,0.745322671
2021/8/23,1.04,0.861728079
2021/8/22,0,0.000283744
2021/8/21,0,0.555309992
2021/8/20,-3.7,0.029576608
2021/8/19,-1.1,0.26183198
2021/8/18,0.18,0.231334789
2021/8/17,-3.73,0.694444444
2021/8/16,1.12,0.473767218
2021/8/15,0,0.548583699
2021/8/14,0,0.320547684
2021/8/13,0.44,0.574737746
2021/8/12,-1.56,0.586183204
2021/8/11,-1.33,0.212336432
2021/8/10,3.22,0.618856094
2021/8/9,2.86,0.982373733
2021/8/8,0,0.488953627
2021/8/7,0,0.240117433
2021/8/6,-0.38,0.070079283
2021/8/5,-0.92,0.01609786
2021/8/4,-0.58,0.064224418
2021/8/3,1.52,0.321936842
2021/8/2,3.58,0.400551849
2021/8/1,0,0.5
2021/7/31,0,0.216838688
2021/7/30,-3.33,0.321027981
2021/7/29,0.14,0.367472169
2021/7/28,0.87,0.047010353
2021/7/27,-3.66,0.091790731
2021/7/26,-4.98,0.801275359
2021/7/25,0,0.582952473
2021/7/24,0,0.360053771
2021/7/23,-2.17,0.325059613
2021/7/22,-1.49,0.054618031
2021/7/21,-0.24,0.5
2021/7/20,0.04,0.00105206
2021/7/19,0.45,0.566757719
2021/7/18,0,0.118076061
2021/7/17,0,0.752011246
2021/7/16,-1.73,0.118859703
2021/7/15,1.47,0.82236861
2021/7/14,-0.56,0.002358108
2021/7/13,1.73,0.570559387
2021/7/12,1.37,0.420968612
2021/7/11,0,0.066346217
2021/7/10,0,0.024204601
2021/7/9,-1.79,0.275761103
2021/7/8,-1.7,0.949157264
2021/7/7,1.09,0.019192364
2021/7/6,-0.44,0.219910378
2021/7/5,-0.32,0.555555556
2021/7/4,0,0.48266679
2021/7/3,0,0.071282581
2021/7/2,-3.37,0.602916709
2021/7/1,0.25,0.900029962
2021/6/30,0.76,0.995679148
2021/6/29,-1.43,0.881097601
2021/6/28,1.29,0.5
2021/6/27,0,0.1028013
2021/6/26,0,0.520718973
2021/6/25,1.17,0.958596701
2021/6/24,0.18,0.886838004
2021/6/23,-1.29,0.186808161
2021/6/22,0.35,0.922216659
2021/6/21,-0.84,0.369020707
2021/6/20,0,0.953546349
2021/6/19,0,0.091954023
2021/6/18,-0.96,0.188532607
2021/6/17,0.64,0.749826329
2021/6/16,-1.55,0.178515393
2021/6/15,-0.25,0.127153584
2021/6/14,0,0.749826329
2021/6/13,0,0.913611077
2021/6/12,0,0.0807304
2021/6/11,-1.7,0.367013626
2021/6/10,0.68,0.014403912
2021/6/9,0.19,0.991091559
2021/6/8,-3.62,0.029223022
2021/6/7,0.44,3.32E-06
2021/6/6,0,0.004125133
2021/6/5,0,0.065743956
2021/6/4,1.22,0.807231836
2021/6/3,0.6,0.640352641
2021/6/2,-0.33,6.06E-05
2021/6/1,0.17,0.007891571
2021/5/31,-0.22,0.905873998
2021/5/30,0,0.9698606
2021/5/29,0,0.3
2021/5/28,-0.44,0.789528428
2021/5/27,0.15,0.1564917
2021/5/26,-0.86,0.5
2021/5/25,2.8,0.5
2021/5/24,0.91,0.990038546
2021/5/23,0,0.018582359
2021/5/22,0,0.400562425
2021/5/21,-0.75,0.098248738
2021/5/20,1.07,0.004402447
2021/5/19,-0.19,0.027801577
2021/5/18,-0.21,0.074781337
2021/5/17,2.23,0.852014451
2021/5/16,0,0.000157719
2021/5/15,0,0.006928218
2021/5/14,1.8,0.19711113
2021/5/13,-0.57,0.614855508
2021/5/12,1.21,0.835402069
2021/5/11,1.86,0.885059133
2021/5/10,-1.28,0.447678459
2021/5/9,0,0.233501043
2021/5/8,0,0.001702747
2021/5/7,-1.24,0.816167175
2021/5/6,-3.56,0.375224543
2021/5/5,0,0.037542855
2021/5/4,0,0.973540451
2021/5/3,0,0.012696371
2021/5/2,0,0.000368072
2021/5/1,0,0.420668479
2021/4/30,-1.52,0.488506848
2021/4/29,0.53,0.032264685
2021/4/28,1.63,0.274443172
2021/4/27,0.97,0.333433556
2021/4/26,-1.26,0.068331013
2021/4/25,0,0.590160333
2021/4/24,0,0.473767218
2021/4/23,1.34,0.24478292
2021/4/22,-0.27,0.60986015
2021/4/21,1.19,0.5
2021/4/20,0.83,0.307606112
2021/4/19,2.19,0.210526316
2021/4/18,0,0.084992477
2021/4/17,0,0.665894999
2021/4/16,0.79,0.454545455
2021/4/15,-0.34,0.597632525
2021/4/14,1.52,0.078119045
2021/4/13,-0.08,0.999108327
2021/4/12,-1.01,0.375110265
2021/4/11,0,0.822571273
2021/4/10,0,0.795972444
2021/4/9,-2.3,0.102993191
2021/4/8,1.1,0.973646302
2021/4/7,-2.98,0.611827895
2021/4/6,-1.12,0.513769838
2021/4/5,0,0.320775916
2021/4/4,0,0.473735627
2021/4/3,0,0.473767218
2021/4/2,3.28,0.808846895
2021/4/1,2.69,0.909090909
2021/3/31,-1.19,0.046121428
2021/3/30,1,0.883786686
2021/3/29,1.36,0.618477751
2021/3/28,0,0.988905054
2021/3/27,0,0.00711172
2021/3/26,2.54,0.014241936
2021/3/25,-0.63,0.955088768
2021/3/24,-0.69,0.116538552
2021/3/23,-0.35,0.25
2021/3/22,0.27,0.248483655
2021/3/21,0,0.5
2021/3/20,0,0.62076804
2021/3/19,-2.62,0.044577282
2021/3/18,2.39,0.237062915
2021/3/17,2.47,0.262539753
2021/3/16,1.21,0.990038546
2021/3/15,-4.1,0.914571605
2021/3/14,0,0.803432179
2021/3/13,0,0.148400407
2021/3/12,0.46,0.464667923
2021/3/11,2.91,0.998623806
2021/3/10,2.9,0.985318004
2021/3/9,-2.59,0.036135657
2021/3/8,-5.87,0.973315031
2021/3/7,0,0.160121951
2021/3/6,0,0.620083133
2021/3/5,0.06,0.553869789
2021/3/4,-3.97,0.999986578
2021/3/3,1.6,0.999956665
2021/3/2,-1.65,0.028054612
2021/3/1,1.24,0.49887538
2021/2/28,0,0.610618912
2021/2/27,0,0.010634402
2021/2/26,-3.04,0.024947721
2021/2/25,-0.81,0.979984305
2021/2/24,-3.79,0.911980243
2021/2/23,-0.24,0.303661258
2021/2/22,-6.47,0.185499154
2021/2/21,0,0.065074417
2021/2/20,0,0.5
2021/2/19,-0.32,0.994746625
2021/2/18,-3.33,0.384760913
2021/2/17,0,0.871950024
2021/2/16,0,0.752714481
2021/2/15,0,0.112839663
2021/2/14,0,0.767501278
2021/2/13,0,0.880250148
2021/2/12,0,0.271273646
2021/2/11,0,0.039363847
2021/2/10,4.38,0.959248289
2021/2/9,2.05,0.501497921
2021/2/8,0.84,0.115789711
2021/2/7,0,0.134703378
2021/2/6,0,0.918414865
2021/2/5,1.13,0.999748398
2021/2/4,-0.28,0.5
2021/2/3,1,0.80048826
2021/2/2,3.66,0.988079324
2021/2/1,1.03,0.058631964
2021/1/31,0,0.999986687
2021/1/30,0,0.80048826
2021/1/29,0.75,0.046473749
2021/1/28,-1.7,0.377739083
2021/1/27,-0.74,0.178131386
2021/1/26,-2.03,0.999994594
2021/1/25,3.95,0.5
2021/1/24,0,0.514073577
2021/1/23,0,0.974012883
2021/1/22,0.23,0.773426903
2021/1/21,2.42,0.999739481
2021/1/20,1.11,0.398371774
2021/1/19,-1.77,0.999997896
2021/1/18,-0.23,0.431577696
2021/1/17,0,0.876264634
2021/1/16,0,0.126984127
2021/1/15,-1.92,0.562760521
2021/1/14,-2.69,0.180227051
2021/1/13,-1.04,0.460888705
2021/1/12,2.28,0.961725017
2021/1/11,-2.09,0.76836211
2021/1/10,0,0.035561926
2021/1/9,0,0.548097944
2021/1/8,-2.34,0.01797837
2021/1/7,1.77,0.028802355
2021/1/6,0.31,0.258496498
2021/1/5,3.26,0.565989885
2021/1/4,2.29,0.99974774
2021/1/3,0,0.818231343
2021/1/2,0,0.980016003
2021/1/1,0,0.081657848
